"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Botaki.class", "Java", 13, 0, 0, 0, 13
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Botaki.java", "Java", 20, 0, -2, 2, 20
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDealer.class", "Java", 13, 0, 0, 0, 13
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDealer.java", "Java", 21, 0, 4, 10, 35
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Node.class", "Java", 22, 0, -15, 0, 7
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Node.java", "Java", 10, 0, -14, 7, 3
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Table.class", "Java", 10, 0, 0, 0, 10
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Table.java", "Java", 3, 0, 7, 3, 13
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\ask2.drawio.svg", "XML", 0, 61, 0, 0, 61
"Total", "-", 112, 61, -20, 22, 175
