"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Botaki.class", "Java", 46, 0, 0, 0, 46
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Botaki.java", "Java", 71, 0, 0, 30, 101
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDealer.class", "Java", 67, 0, 0, 0, 67
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDealer.java", "Java", 115, 0, 11, 39, 165
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDeck.class", "Java", 38, 0, 0, 0, 38
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardDeck.java", "Java", 74, 0, 2, 34, 110
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardGroup.class", "Java", 30, 0, 0, 0, 30
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\CardGroup.java", "Java", 54, 0, 1, 16, 71
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Node.class", "Java", 69, 0, 0, 0, 69
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Node.java", "Java", 109, 0, 0, 36, 145
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Player.class", "Java", 10, 0, 0, 0, 10
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Player.java", "Java", 12, 0, 1, 6, 19
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Table.class", "Java", 47, 0, 0, 0, 47
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\Table.java", "Java", 44, 0, 9, 23, 76
"c:\Users\Philip\Desktop\UOI\AI\New folder\ask2\ask2\ask2.drawio.svg", "XML", 0, 344, 0, 0, 344
"Total", "-", 786, 344, 24, 184, 1338
